"ID","X","Y","pH","OM","P","K","Mg","Ca","Al","NO_3","EC","Elev"
"248",104.233427486781,69.3484236094929,6.5,3.3,40,160,580,2800,640,21.7,7.75,4.6634483
"249",125.8517571552,67.3416506817416,6.8,2.2,335,325,380,3200,720,32.67,10.25,4.8618355
"250",145.874675487622,68.0872926137412,7,2.1,155,180,330,3600,760,16.03,9.1,4.7767944
"251",165.501689518158,68.1741639843532,7.4,1.6,180,200,345,4500,760,19,15.7,5.1076088
"252",185.982179597156,69.2761874268298,7.4,1.9,160,320,450,4300,950,30.38,9.9,4.8881416
"253",33.5134672229376,48.7009923496471,6.8,6.1,170,285,335,4100,920,43.17,10.45,4.757267
"254",53.2007273379059,48.2850247342205,7.2,2.9,165,370,450,4200,520,18.24,10,4.6782227
"255",72.6201940758992,46.5731075300267,7.5,2.5,135,350,530,4400,610,15.79,11,4.5317154
"256",93.7480954325762,45.8338464978393,7.5,1.7,100,210,440,4400,670,31.35,11.75,4.8959084
"257",113.771691476048,43.7470796414581,7.6,1.5,190,240,450,5300,620,20.54,11.2,4.7461662
"258",132.734425517296,43.6834321155602,7.6,1.5,120,210,450,4200,690,17.43,8.4,5.2451134
"259",153.875234380172,44.4897703279448,7.8,1.55,90,200,435,5100,870,14.63,10.1,4.7767944
"260",174.130255936048,43.3079702754048,7.7,1.3,225,380,460,5200,1020,23.84,8.1,5.253582
"261",196.133958678683,39.0184149170271,7.6,1.5,140,190,565,4400,850,15.6,8.1,4.369606
"262",24.8616250292392,30.0718788463575,7.3,2.4,200,220,430,4800,500,30.21,11.7,4.5919762
"263",43.2890760197005,29.0564624704421,7.4,2.3,90,250,455,5600,540,87.25,11.95,4.8293381
"264",62.6311349821563,30.466178600084,7.3,1.8,80,210,510,3600,540,33.02,10.2,4.5342445
"265",81.1999520990422,29.5648743864485,7.4,2,160,340,630,4200,680,22.57,9.9,5.0462074
"266",101.576208984022,29.4776322502351,7.5,1.5,40,160,450,4300,530,15.62,11,4.7465134
"267",84.6703636767723,625.212049429223,6.1,2.6,120,640,500,4500,1090,19.75,18.9,1.8605995
"268",158.152592571811,621.155864849103,6.2,2.9,125,260,530,4000,1200,34.89,10.7,2.5216751
"269",39.3658954654472,610.279646069628,5.9,3.6,200,800,775,5100,1130,25.23,13.95,1.3546333
"270",180.267233433775,607.84208589652,6.1,3,140,330,340,3400,1240,31.27,11.35,2.8671227
