X,Y,ID,tC_015,tC_1530,FFtC,tC,Sand,Silt,Clay,pH,K,P,Mg,Ca,Min,RM,SuM,SiM,BE,RO,WB,GB,YB,BW,BH,SH,AE,WA,BA,IW,MW,HE
582393.352094000,5031653.77534300,91,4.93435891242440,2.53055345704529,0,7.46491236946968,49.5900000000000,30.2000000000000,20.2100000000000,6.20000000000000,66,11.6900000000000,249,2300,133.087893625302,0,16,0,0,1,0,0,0,2,17,0,0,2,0,0,0,0
582346.761221000,5031627.60992300,92,6.53528006828233,1.16080821120762,0,7.69608827948995,25.3200000000000,29.9600000000000,44.7200000000000,6.53000000000000,83,13.4400000000000,450,3230,132.932304598662,0,9,0,0,2,0,0,0,0,14,0,0,6,0,0,0,0
582298.953196000,5031601.18014300,93,3.97191038475306,1.25277122045720,0,5.22468160521026,43.8400000000000,24.2600000000000,31.9000000000000,5.66000000000000,67,23.6100000000000,169,744,108.612116559912,2,19,0,0,2,0,0,0,0,4,2,0,2,0,0,0,0
582247.708661000,5031569.43382300,94,2.47144787212454,0.809174437817349,0,3.28062230994189,29.7900000000000,23.2400000000000,46.9700000000000,5.63000000000000,90,11.8700000000000,230,943,123.685549656835,12,0,0,2,3,0,0,0,3,0,0,0,2,0,0,2,0
582203.638602000,5031552.44795100,95,3.81240157249570,1.34759595936110,0,5.15999753185680,50.1200000000000,25.4100000000000,24.4700000000000,5.73000000000000,146,43.9200000000000,249,1180,118.065923029079,2,3,0,10,0,0,0,2,7,0,0,0,7,0,0,0,0
582149.064966000,5031522.18640800,96,2.92620160211632,1.08251020291643,0.204431436671103,4.21314324170386,28.1100000000000,33.0800000000000,38.8200000000000,6.53000000000000,61,11.8400000000000,157,622,83.2846781377307,2,12,0,11,0,0,0,0,4,0,0,0,3,0,0,0,0
582112.577887000,5031500.93984600,97,3.06311595723214,2.41564462066959,1.47910684895282,6.95786742685455,87.5100000000000,5.75000000000000,6.74000000000000,4.78000000000000,26,78.7000000000000,17,60,44.2753270832247,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582065.776240000,5031481.19972800,98,7.00172805702294,1.69519287089164,1.75492488733074,10.4518458152453,86.4000000000000,6.33000000000000,7.28000000000000,4.72000000000000,36,46.6400000000000,17,28,68.9867151072319,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
582017.642893000,5031460.13552800,99,4.80909800716498,1.13211563655778,0,5.94121364372276,14.9300000000000,33.8900000000000,51.1800000000000,5.62000000000000,158,23.3100000000000,370,1370,200.642599802573,5,0,0,3,4,0,0,0,9,0,6,0,4,0,0,0,2
582375.482926000,5031693.47762500,101,5.83772555158339,1.63007944358133,0,7.46780499516472,34.0800000000000,27.8100000000000,38.1100000000000,6.26000000000000,72,8.36000000000000,340,2240,128.617812971299,0,25,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0
582317.883715000,5031659.64779800,102,4.58112894318686,2.42780253935234,0,7.00893148253921,39.1200000000000,28.6100000000000,32.2700000000000,5.53000000000000,126,30.2200000000000,394,1940,190.786926467751,0,15,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0
582275.908861000,5031642.16208200,103,5.14179125163824,0.832337894917873,0,5.97412914655612,30.2000000000000,24.6100000000000,45.1900000000000,6.32000000000000,153,39.9500000000000,565,3090,220.533629951945,2,1,0,0,4,0,0,0,6,11,0,0,4,0,0,0,0
582224.210049000,5031611.83758200,104,5.67947355966920,3.08269644602454,0,8.76217000569373,17.9000000000000,32.4500000000000,49.6500000000000,5.81000000000000,264,19.3300000000000,945,3640,440.778142537159,2,0,18,0,0,0,0,0,0,2,2,0,2,0,0,0,0
582186.981390000,5031592.91446000,105,5.64880656941170,1.13602998951895,0,6.78483655893066,39.9100000000000,24.1300000000000,35.9600000000000,7.27000000000000,115,16.3500000000000,1230,5000,143.058779892441,2,1,2,8,0,0,0,0,2,2,4,2,6,1,0,0,0
582130.573226000,5031567.95290800,106,3.01808416047201,0.849124641604039,0.172694787933922,4.03990359000997,73.3000000000000,10.5500000000000,16.1500000000000,5.16000000000000,54,41.2800000000000,74,134,86.3623510798122,0,11,0,19,0,0,0,0,10,0,1,0,0,0,0,0,0
582089.232704000,5031557.43940500,107,3.52041179230795,1.82551352720984,3.06568634036288,8.41161165988068,93.9600000000000,1.37000000000000,4.67000000000000,4.81000000000000,25,149.600000000000,10,29,30.1889196938969,6,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
582046.550408000,5031535.22559900,108,3.01262208871578,2.09264531163371,1.96527589213488,7.07054329248437,81.2700000000000,10.5400000000000,8.19000000000000,4.75000000000000,25,12.0300000000000,12,18,51.3541470774445,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
581994.936526000,5031513.70430000,109,3.22389153652967,1.48773782919245,0.323187189764489,5.03481655548661,40.1100000000000,25.8700000000000,34.0200000000000,5.45000000000000,112,8.22000000000000,212,690,179.393567258149,10,3,0,13,3,2,0,0,2,0,2,0,2,0,0,0,0
582297.569427000,5031700.62384800,112,4.76092159201330,1.44487846848071,0,6.20580006049400,58.6500000000000,23.3700000000000,17.9800000000000,5.99000000000000,75,25.0700000000000,162,1700,123.414854173351,0,26,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0
582255.995425000,5031684.13878800,113,5.18309711598385,3.05717057354558,0,8.24026768952942,52.7500000000000,28.8900000000000,18.3500000000000,6.28000000000000,110,20.5300000000000,375,2090,181.563016379789,0,17,0,0,2,0,0,0,2,6,0,0,2,0,0,0,0
582209.860041000,5031653.36948600,114,4.11969108688734,2.08816146539752,0,6.20785255228486,42.7700000000000,30.7700000000000,26.4600000000000,6.08000000000000,129,28.6400000000000,480,2340,148.346674137691,8,3,2,0,2,0,0,0,10,7,1,0,0,0,0,0,0
582165.148351000,5031635.31345900,115,6.50044168641416,1.03898781899887,0,7.53942950541303,30.5200000000000,27.7100000000000,41.7700000000000,6.80000000000000,171,12.6400000000000,740,4350,168.770086231190,9,0,0,6,2,0,0,2,15,0,2,0,0,8,0,0,0
582119.637133000,5031617.77781000,116,4.29164793246084,2.18698456690140,0,6.47863249936223,44.0700000000000,26.0300000000000,29.9100000000000,6,65,5.75000000000000,311,1540,122.611339055012,1,12,0,8,2,0,0,1,7,2,2,0,2,0,0,0,0
582072.717581000,5031596.99402300,117,3.55284150820972,1.27485033726909,0.121414751007394,4.94910659648620,72.8800000000000,11.2100000000000,15.9200000000000,6.10000000000000,62,16.7300000000000,253,1015,117.317653097715,0,10,0,20,4,0,0,0,4,0,0,0,2,0,0,0,0
